Bit, bit shift cheat sheet

(2, 1 << 0) BTN_SOUTH
(2, 1 << 1) BTN_EAST
(2, 1 << 2) BTN_C
(2, 1 << 3) BTN_NORTH
(2, 1 << 4) BTN_WEST
(2, 1 << 5) BTN_Z
(2, 1 << 6) TL
(2, 1 << 7) TR

(3, 1 << 0) TL2
(3, 1 << 1) TR2
(3, 1 << 2) BTN_SELECT
(3, 1 << 3) BTN_START
(3, 1 << 4) BTN_MODE
(3, 1 << 5) BTN_THUMBL
(3, 1 << 6) BTN_THUMBR
(3, 1 << 7) ?

(4, 1 << 0) BTN_TRIGGER_HAPPY1
(4, 1 << 1) BTN_TRIGGER_HAPPY2
(4, 1 << 2) BTN_TRIGGER_HAPPY3
(4, 1 << 3) BTN_TRIGGER_HAPPY4
(4, 1 << 4) BTN_TRIGGER_HAPPY5
(4, 1 << 5) BTN_TRIGGER_HAPPY6
(4, 1 << 6) BTN_TRIGGER_HAPPY7
(4, 1 << 7) BTN_TRIGGER_HAPPY8

(5, 1 << 0) BTN_TRIGGER_HAPPY9
(5, 1 << 1) BTN_TRIGGER_HAPPY10
(5, 1 << 2) BTN_TRIGGER_HAPPY11
(5, 1 << 3) BTN_TRIGGER_HAPPY12
(5, 1 << 4) BTN_TRIGGER_HAPPY13
(5, 1 << 5) BTN_TRIGGER_HAPPY14
(5, 1 << 6) BTN_TRIGGER_HAPPY15
(5, 1 << 7) BTN_TRIGGER_HAPPY16

(6, 1 << 0) BTN_TRIGGER_HAPPY17
(6, 1 << 1) BTN_TRIGGER_HAPPY18
(6, 1 << 2) BTN_TRIGGER_HAPPY19
(6, 1 << 3) BTN_TRIGGER_HAPPY20
(6, 1 << 4) BTN_TRIGGER_HAPPY21
(6, 1 << 5) BTN_TRIGGER_HAPPY22
(6, 1 << 6) BTN_TRIGGER_HAPPY23
(6, 1 << 7) BTN_TRIGGER_HAPPY24
